Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oceania,0.561,0.613,0.174,0.375,0.274,0.271,0.548,0.362,0.979,0.465,0.212,0.302,0.818,0.773,0.588,1.134,0.556,0.819,0.538,0.962,0.564,0.216,0.399,1.362,1.094,1.007,1.144,1.142,1.148,1.448
OECD,0.524,0.563,0.203,0.319,0.542,0.537,0.164,0.545,1.399,0.997,0.763,1.004,0.839,0.963,0.583,1.209,1.365,0.952,0.581,0.792,1.241,0.912,1.196,0.888,1.004,1.336,1.697,1.418,1.134,1.318
Oman,0.123,-0.349,-0.619,0.179,0.131,-0.065,-0.177,-0.178,0.922,0.476,0.557,0.725,0.675,0.652,0.714,0.758,0.627,0.686,0.349,0.815,1.021,0.844,0.873,0.394,0.512,1.203,0.986,1.253,1.195,0.798
Pacific Islands Trust Territory,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,0.277,-0.255,-0.414,0.307,-0.015,-0.187,-0.232,-0.478,0.535,0.684,0.620,0.792,0.797,0.373,0.961,0.008,0.862,0.569,0.372,0.918,1.061,0.772,0.162,0.679,0.296,0.512,1.358,0.924,1.297,0.405
Palau,,0.008,0.187,0.230,0.347,0.406,0.438,0.457,0.705,0.442,0.416,,,0.456,0.783,0.484,0.611,0.690,0.483,0.553,0.620,0.532,0.758,0.642,0.671,0.921,0.987,0.830,0.999,-0.122
Palestine,0.090,0.053,-1.031,-0.010,0.511,-0.025,0.487,-0.229,0.924,0.828,0.122,0.800,0.674,0.473,0.402,0.384,0.291,0.571,0.775,0.827,2.294,0.380,1.059,0.909,0.970,1.059,1.503,0.907,1.806,1.031
Panama,0.365,0.457,0.303,0.480,0.266,0.264,0.052,0.596,0.786,-0.090,0.109,0.541,0.742,0.849,0.669,0.688,0.690,0.574,0.353,0.937,0.830,0.582,0.660,0.827,0.845,1.179,0.978,0.876,1.196,1.476
Papua New Guinea,0.338,0.173,0.516,0.295,0.263,0.787,0.565,0.133,1.242,0.338,0.369,0.510,0.840,0.750,0.270,0.655,0.320,0.412,0.334,0.326,1.002,0.407,0.364,0.763,0.521,0.329,1.435,1.252,0.787,0.667
Paraguay,0.075,0.744,-0.375,0.299,0.993,0.462,0.120,0.988,0.088,0.161,0.073,0.642,1.224,0.636,0.437,0.653,1.068,0.262,0.417,0.968,0.447,0.625,1.076,0.482,1.204,1.689,0.322,1.371,0.642,1.456
Peru,0.275,0.544,0.858,0.546,0.544,0.718,0.099,1.004,1.242,0.376,0.437,0.557,0.852,0.819,0.802,0.851,0.897,0.572,0.743,1.022,1.169,0.920,1.007,0.809,0.989,1.422,1.425,1.041,0.787,1.102
Philippines,0.450,0.332,0.413,0.371,0.425,0.398,0.351,0.517,1.243,0.404,0.558,0.618,0.639,0.555,0.598,0.625,0.760,0.721,0.429,0.595,0.943,0.485,0.810,0.849,0.716,1.033,1.467,1.072,1.144,1.219
Pitcairn Islands,0.235,-0.311,-0.302,-0.514,-0.203,-0.081,-0.166,-0.243,-0.367,,0.518,0.225,0.572,-0.025,-0.646,-0.119,0.512,0.131,-0.023,-0.090,0.066,0.588,,,,,,,,
Poland,1.606,0.363,1.193,0.255,1.319,0.670,-0.810,0.404,0.767,1.419,1.998,0.824,1.602,0.853,0.799,0.745,1.192,1.863,1.823,1.088,0.060,1.412,0.978,1.038,2.237,2.284,1.767,1.578,2.391,2.801
Polynesia,0.474,0.515,0.465,0.227,0.409,0.644,0.468,0.435,0.605,0.387,0.519,0.730,1.021,0.733,0.520,0.758,0.695,0.976,0.531,0.872,0.893,0.503,0.826,0.833,0.811,0.816,1.305,1.081,0.883,1.120
Portugal,1.095,0.568,0.461,-0.203,0.747,1.739,0.671,1.640,1.048,0.725,0.763,0.895,0.951,1.291,0.950,1.003,1.522,0.745,0.601,1.490,1.101,1.615,0.835,0.879,1.380,1.770,1.635,2.099,1.026,1.512
Puerto Rico,0.338,0.205,0.158,0.329,0.515,0.556,0.187,0.677,1.030,0.394,0.186,0.578,0.748,0.798,0.320,0.627,0.713,0.778,0.268,0.612,0.869,0.499,0.690,0.620,0.723,1.055,1.035,0.847,0.668,1.029
Qatar,0.610,-0.145,-0.595,0.138,0.556,0.139,0.664,0.050,1.437,1.578,0.990,1.284,1.271,1.230,1.116,1.103,1.265,1.264,1.044,1.311,1.999,1.266,1.623,1.178,1.740,2.011,1.701,1.883,2.215,1.923
Republic of Korea,1.149,0.355,0.551,-0.106,1.351,0.215,0.095,0.688,1.481,0.849,0.377,0.749,0.706,0.538,1.251,0.411,0.809,1.244,0.877,0.823,0.474,0.239,0.150,0.686,0.700,1.129,1.414,0.979,0.865,1.685
Republic of Moldova,,,0.435,-0.398,1.370,0.318,-0.586,-0.422,0.443,1.372,1.489,0.970,1.270,0.288,0.769,0.772,0.358,2.060,1.621,1.491,1.184,0.722,1.523,1.494,1.319,2.147,1.735,1.667,1.676,2.723
Romania,1.100,-0.266,0.483,-0.117,1.571,0.281,-0.364,-0.316,0.371,1.045,1.462,0.895,1.352,0.414,0.655,0.221,0.592,1.850,1.536,1.475,0.991,0.693,1.477,1.475,1.617,1.882,1.498,1.456,2.050,2.496
Russian Federation,,,0.531,0.772,0.553,2.290,0.699,1.138,0.178,0.602,0.942,0.942,1.322,1.592,1.001,1.912,0.736,2.469,2.143,0.862,0.974,2.020,1.559,1.704,1.531,2.337,2.168,2.374,1.804,2.372
Rwanda,0.362,-0.132,-0.058,0.582,0.411,0.562,0.616,1.031,0.524,-0.480,0.648,-0.075,0.385,0.461,0.540,2.050,1.240,0.673,0.539,0.650,1.211,0.789,0.788,0.886,,,,,,
R閡nion,0.289,0.366,0.399,0.307,0.513,0.258,0.179,0.316,0.953,0.397,0.563,0.869,0.625,0.724,0.708,0.604,0.481,0.596,0.504,1.043,0.898,0.970,0.780,0.620,1.087,1.180,0.938,1.460,1.211,1.740
"Saint Helena, Ascension and Tristan da Cunha",0.870,0.454,0.463,0.817,0.937,0.790,0.475,1.021,1.293,1.392,1.500,1.131,1.154,1.607,1.417,1.494,1.525,1.079,1.136,1.691,1.250,1.394,1.325,1.340,1.407,2.245,1.581,1.432,1.600,1.767
Saint Kitts and Nevis,0.177,0.236,0.255,0.338,0.297,0.573,0.193,0.557,0.929,0.426,0.181,,0.501,0.471,0.354,0.691,0.520,0.672,0.129,0.439,0.954,0.458,0.589,0.693,0.611,0.989,0.961,0.824,0.561,0.912
Saint Lucia,0.252,0.232,0.190,0.322,0.334,0.542,0.227,0.471,0.953,0.304,0.177,0.542,0.544,0.766,0.505,0.969,0.821,0.714,0.460,0.671,1.278,0.774,0.822,0.863,0.797,1.063,1.142,0.939,0.678,0.997
Saint Pierre and Miquelon,-0.404,-1.012,-1.235,-0.881,-0.548,-0.230,0.505,-0.548,0.795,1.894,1.002,0.811,-0.275,0.303,0.484,0.963,1.699,0.056,0.683,0.617,1.613,0.810,2.034,0.988,0.725,0.077,0.839,0.663,0.735,0.404
Saint Vincent and the Grenadines,0.227,0.270,0.278,0.363,0.349,0.631,0.295,0.497,1.049,0.393,0.293,0.644,0.609,0.958,0.544,1.120,0.946,0.785,0.697,0.734,1.428,0.950,0.919,0.996,0.959,1.118,1.105,1.063,0.708,1.048
Samoa,0.530,0.734,0.694,0.309,0.302,0.865,0.872,0.432,0.977,0.326,0.728,0.972,1.313,0.701,0.368,0.788,0.465,1.188,0.660,1.300,1.077,0.731,0.892,1.175,1.015,0.875,1.440,1.274,1.086,1.375
San Marino,0.840,-0.102,0.733,0.578,1.481,0.279,0.161,1.012,0.877,0.943,1.481,1.261,1.399,1.538,0.911,0.258,1.128,1.599,1.292,1.374,0.611,1.468,1.517,1.154,1.664,1.852,1.686,1.632,1.901,1.819
Sao Tome and Principe,0.087,0.241,0.033,0.374,0.299,0.836,0.156,0.433,1.117,0.841,0.450,0.495,0.708,0.969,0.749,0.615,0.776,0.924,0.754,0.901,1.047,0.769,0.791,0.837,0.866,0.962,1.471,1.168,0.916,1.294
Saudi Arabia,0.308,0.136,-1.051,0.078,0.388,0.273,0.767,-0.089,1.223,1.366,0.768,1.078,0.921,1.075,0.789,0.847,0.866,0.974,0.837,1.205,2.127,0.766,1.383,1.146,1.440,1.749,1.702,1.843,1.907,1.654
Senegal,1.166,0.885,0.845,1.038,0.608,0.937,1.265,1.233,1.483,0.530,0.854,1.326,1.367,1.012,1.188,1.409,1.141,1.232,1.266,0.731,1.505,1.044,0.862,1.208,1.136,1.248,1.712,1.678,1.161,1.515
Serbia,,,,,,,,,,,,,,,,,0.615,1.686,1.608,1.373,1.044,0.892,1.472,1.548,1.742,1.791,1.488,1.529,2.196,2.325
Serbia and Montenegro,,,0.670,0.288,1.569,0.247,-0.208,-0.015,0.571,0.908,1.583,0.928,1.374,0.779,0.633,-0.111,,,,,,,,,,,,,,
Seychelles,0.472,0.552,0.214,0.276,0.496,0.468,0.157,0.694,0.902,0.390,0.438,0.773,0.547,0.666,0.338,0.509,0.641,0.851,0.493,0.839,0.952,0.970,0.862,0.737,0.932,1.334,1.165,1.258,1.017,1.505
Sierra Leone,0.520,0.494,0.249,0.421,0.344,0.461,0.521,0.650,0.709,0.801,1.266,0.883,1.108,0.934,1.239,1.265,1.167,0.937,1.372,1.033,1.527,1.050,0.725,1.034,1.067,1.062,1.396,1.754,1.330,1.708
Singapore,0.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,0.293,1.613,0.499,-0.544,0.158,0.671,1.026,1.846,0.719,1.589,0.895,0.589,0.320,0.920,1.916,1.753,1.382,0.449,1.269,1.322,1.234,2.390,2.208,1.643,1.444,2.526,2.626
Slovenia,,,1.315,0.682,1.909,0.673,-0.227,0.769,1.065,1.061,2.044,1.248,1.838,1.468,0.747,0.385,1.178,1.930,1.754,1.614,0.613,1.682,1.782,1.451,2.442,2.185,1.847,1.782,2.417,2.512
Small Island Developing States,0.502,0.298,0.448,0.392,0.458,0.861,0.534,0.591,1.264,0.481,0.488,0.671,0.819,0.964,0.707,0.857,0.705,0.750,0.638,0.778,1.075,0.689,0.700,0.941,0.941,0.994,1.514,1.240,0.962,1.100
Solomon Islands,0.474,0.270,0.184,0.040,0.158,0.733,0.440,0.413,0.753,0.299,0.614,,0.039,0.691,0.799,0.821,0.569,0.994,0.172,0.500,1.217,1.235,1.469,1.439,1.394,1.331,1.908,1.744,1.347,1.297
Somalia,0.245,0.466,0.734,0.342,0.650,0.760,0.839,0.615,0.896,0.521,0.819,1.008,1.002,1.087,0.678,1.246,1.008,1.107,0.867,1.637,1.245,1.131,1.392,1.151,1.402,1.818,1.514,1.898,1.258,2.095
South Africa,0.284,0.332,0.837,0.754,0.200,0.480,-0.066,0.292,0.770,1.160,0.221,0.484,0.529,0.797,0.986,0.947,0.500,0.767,0.806,0.732,1.176,0.514,0.673,0.666,0.845,1.530,1.583,0.978,1.163,1.682
South America,0.396,0.415,0.270,0.426,0.583,0.624,0.392,0.788,0.980,0.375,0.307,0.651,0.848,0.847,0.751,0.841,0.834,0.636,0.680,0.934,0.902,0.722,0.975,0.846,1.074,1.494,1.203,1.233,1.007,1.347
South Georgia and the South Sandwich Islands,0.460,-0.149,0.262,0.578,-0.434,0.188,0.520,0.058,1.724,0.880,1.872,0.506,-0.268,0.726,,0.108,1.011,0.054,0.745,0.066,0.680,0.479,-0.426,-0.373,-0.179,0.100,-0.229,0.829,0.716,0.032
South Sudan,,,,,,,,,,,,,,,,,,,,,,1.361,1.349,1.268,0.808,1.198,1.605,1.292,1.090,1.015
South-Eastern Asia,0.311,0.391,0.255,0.237,0.365,0.375,0.306,0.473,1.101,0.342,0.325,0.544,0.676,0.594,0.531,0.755,0.619,0.495,0.269,0.672,0.944,0.319,0.727,0.793,0.795,1.057,1.362,0.984,0.937,1.269
Southern Africa,0.473,0.177,0.895,0.714,0.210,0.715,0.020,0.229,0.952,0.959,0.062,0.364,0.656,1.005,0.800,1.022,0.145,0.772,0.756,0.627,1.226,0.234,0.534,0.859,0.641,1.631,1.572,0.773,1.250,1.825
Southern Asia,0.216,0.090,-0.293,0.091,0.198,0.292,0.178,0.031,0.791,0.760,0.611,0.877,0.933,0.635,0.857,0.544,0.955,0.637,0.535,1.020,1.322,0.651,0.538,0.730,0.598,0.973,1.326,1.123,1.234,0.913
Southern Europe,0.945,0.043,0.449,0.177,1.236,0.858,0.276,0.944,0.849,0.925,1.138,1.090,1.129,1.239,0.803,0.499,1.131,1.135,1.068,1.332,0.910,1.344,1.241,1.095,1.626,1.666,1.569,1.637,1.650,1.810
Spain,1.096,0.331,0.317,-0.066,1.059,1.475,0.614,1.524,1.022,0.854,0.917,1.119,1.078,1.425,0.922,0.796,1.541,0.795,0.778,1.416,0.815,1.621,0.999,0.792,1.570,1.677,1.540,1.836,1.168,1.634
Sri Lanka,0.685,0.635,0.348,0.379,0.485,0.702,0.534,0.809,1.277,0.488,0.652,0.883,0.997,1.000,0.834,0.916,0.676,0.621,0.572,0.745,1.048,0.798,0.967,0.841,1.005,1.052,1.339,1.085,0.844,1.252
Sudan,,,,,,,,,,,,,,,,,,,,,,0.940,1.109,1.249,1.139,1.307,1.607,1.446,1.167,1.047
Sudan (former),0.753,0.095,0.098,0.514,0.103,0.616,0.564,0.431,0.709,0.464,0.415,0.471,1.062,0.937,1.061,1.376,0.828,0.581,0.914,1.501,1.615,,,,,,,,,
Suriname,0.399,0.337,0.704,0.490,0.515,1.012,0.485,0.756,1.440,0.550,0.562,0.650,0.892,1.134,1.211,1.287,1.007,1.057,1.202,1.427,1.549,1.000,1.157,1.251,1.433,1.317,1.743,1.390,1.171,1.591
Svalbard and Jan Mayen Islands,2.133,1.040,0.973,0.097,0.288,-0.018,1.111,0.101,0.043,2.223,1.967,1.480,1.699,0.001,1.614,2.719,3.662,2.931,1.860,2.126,1.772,2.486,3.733,2.217,3.311,3.540,5.454,3.436,4.031,2.532
Sweden,2.005,1.038,1.396,0.520,0.507,0.693,-0.028,1.237,0.531,1.209,2.046,0.775,1.408,1.331,1.274,1.651,1.933,1.728,1.839,1.149,-0.670,2.094,0.737,1.461,2.502,2.306,1.769,1.445,1.848,1.741
Switzerland,1.176,0.370,1.101,0.658,1.872,0.779,-0.014,1.229,0.992,1.008,1.636,1.078,1.596,1.730,0.920,0.647,1.422,1.637,1.197,1.385,0.301,2.022,1.378,0.867,2.171,2.144,1.579,1.742,2.479,2.145
Syrian Arab Republic,0.346,0.286,-1.158,-0.200,0.971,0.369,0.761,-0.207,1.278,1.208,0.579,1.159,0.653,0.631,0.497,0.567,0.690,0.927,1.039,0.923,2.467,0.451,1.212,1.137,1.584,1.162,1.673,1.512,2.307,1.536
Tajikistan,,,-0.205,-0.323,0.314,0.142,-0.231,1.202,0.958,0.873,0.837,1.386,0.881,0.628,1.275,0.645,1.133,1.209,0.953,0.606,1.242,1.033,0.006,1.205,0.490,1.299,1.828,1.220,1.762,1.420
Thailand,0.577,0.656,0.340,0.279,0.456,0.524,0.224,0.563,1.319,0.175,0.264,0.579,0.729,0.591,0.497,0.859,0.666,0.560,0.195,0.579,1.232,0.141,1.042,0.771,0.816,1.281,1.363,0.932,0.923,1.560
Timor-Leste,-0.860,0.288,,0.583,0.480,0.387,0.412,0.292,1.078,0.127,0.052,0.517,0.526,0.471,0.670,1.172,0.412,0.554,0.261,0.776,0.891,-0.019,,0.618,0.602,0.794,1.872,1.169,1.000,1.284
Togo,0.689,0.200,0.154,0.477,0.414,0.622,0.620,0.593,1.148,0.630,0.647,0.887,0.803,1.099,0.881,1.112,1.005,1.025,0.858,1.016,1.307,0.972,0.771,0.881,1.061,1.164,1.479,1.327,1.236,1.389
Tokelau,0.634,1.106,,,,-1.899,,2.252,-0.397,0.029,0.162,0.284,-0.098,0.136,1.290,0.388,1.910,1.517,0.729,0.994,0.523,,,,,,,,,
Tonga,0.485,0.407,0.325,-0.025,0.173,0.650,0.637,0.621,0.684,0.485,0.838,1.026,1.154,0.854,1.081,1.088,0.839,1.122,0.690,0.608,1.216,0.944,1.003,1.137,1.002,1.086,1.574,1.327,1.367,1.928
Trinidad and Tobago,0.261,0.363,0.399,0.492,0.412,0.804,0.414,0.422,1.164,0.468,0.541,0.798,0.556,1.147,0.781,1.494,0.992,0.963,0.800,0.800,1.580,1.167,0.971,0.888,1.286,1.285,0.799,1.558,0.951,1.466
Tunisia,1.211,0.103,0.293,0.805,1.517,0.928,0.788,1.343,1.008,1.987,1.374,1.999,1.589,1.731,1.210,1.105,1.621,1.493,1.539,1.341,1.874,1.208,1.822,1.575,1.951,1.349,2.126,1.342,1.794,1.602
Turkey,0.129,-0.084,-1.290,-0.476,0.891,0.324,0.557,-0.213,1.052,1.293,0.386,1.450,0.563,0.538,0.488,0.627,0.684,0.997,0.865,0.933,2.419,0.101,1.059,1.030,1.789,0.494,1.383,1.214,2.506,1.792
Turkmenistan,,,0.053,-0.342,0.372,1.453,0.272,1.242,1.198,1.366,1.355,1.533,1.318,0.573,1.598,1.541,1.384,1.215,0.802,1.289,1.971,0.745,0.848,1.868,0.824,1.629,2.003,1.618,1.788,1.955
Turks and Caicos Islands,0.595,0.161,0.694,0.525,1.122,1.164,0.735,1.497,1.455,0.824,0.930,0.900,1.112,1.253,0.854,0.981,1.277,1.195,0.689,0.874,1.344,0.869,0.986,1.293,1.256,1.542,1.326,1.265,1.209,1.714
Tuvalu,0.154,0.479,0.148,0.099,0.649,0.466,0.483,0.462,0.254,0.489,0.597,0.860,0.895,0.537,0.750,0.816,0.693,0.710,0.369,0.790,1.020,0.845,0.739,0.758,0.795,0.897,1.044,1.112,1.083,1.175
Uganda,0.357,0.150,0.300,0.297,0.228,0.569,0.357,0.666,0.464,0.062,0.543,0.381,0.689,0.862,0.774,1.548,0.887,0.551,0.707,1.204,1.239,0.895,1.052,1.050,1.071,1.192,1.300,1.593,0.993,1.449
Ukraine,,,0.428,-0.456,0.880,0.812,-0.317,-0.270,0.576,1.585,1.477,1.130,1.430,0.362,0.973,0.988,0.440,2.144,1.687,1.490,1.616,0.866,1.463,1.750,1.616,2.283,1.737,1.855,1.890,2.702
United Arab Emirates,0.392,-0.279,-0.752,-0.011,0.230,-0.220,0.241,-0.335,1.125,1.097,0.589,0.699,0.833,0.885,0.810,0.660,0.701,0.788,0.420,0.939,1.394,0.967,1.193,0.575,0.872,1.482,1.087,1.487,1.575,1.156
United Kingdom,1.008,0.249,0.399,0.020,0.515,0.813,-0.088,1.099,0.820,1.014,0.792,0.495,1.126,1.139,1.077,1.053,1.344,1.232,0.727,0.859,-0.304,1.277,0.502,0.508,1.606,0.891,1.031,1.312,1.149,1.198
United Republic of Tanzania,0.145,0.249,0.278,0.133,0.335,0.398,0.252,0.542,0.600,-0.285,0.566,0.410,0.575,0.941,0.730,1.168,0.750,0.797,0.582,0.941,1.196,0.870,1.039,1.052,1.080,1.289,1.294,1.654,1.282,1.659
United States of America,0.732,0.703,0.254,0.153,0.466,0.546,-0.021,0.401,1.326,0.710,0.845,0.952,1.008,0.923,0.876,1.096,1.122,1.006,0.141,0.341,0.680,0.732,1.379,0.479,0.726,1.537,1.974,1.546,1.212,1.030
United States Virgin Islands,0.258,0.188,0.078,0.310,0.426,0.450,0.092,0.513,0.917,0.303,0.087,0.469,0.688,0.646,0.297,0.554,0.592,0.708,0.192,0.585,0.752,0.334,0.546,0.588,0.680,0.977,0.931,0.774,0.585,0.937
Uruguay,0.302,0.463,0.070,0.219,0.641,0.207,0.439,0.945,0.086,0.102,0.249,1.152,0.592,0.181,0.576,0.658,0.722,-0.011,0.760,0.393,0.386,0.243,0.985,0.222,0.914,1.038,0.308,1.544,0.957,0.801
USSR,1.161,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,0.237,-0.603,0.125,1.318,-0.148,1.276,0.730,1.341,1.379,1.439,1.304,0.606,1.908,1.488,1.247,1.381,0.775,1.205,1.807,0.624,0.635,1.818,0.152,1.630,2.162,1.573,1.169,2.101
Vanuatu,0.495,0.113,0.148,-0.200,0.024,0.523,0.575,0.423,1.137,1.051,0.984,0.981,0.737,0.556,0.593,0.723,0.499,1.015,0.952,0.636,1.163,0.925,0.659,0.992,0.857,0.870,1.416,1.264,0.742,1.084
Venezuela (Bolivarian Republic of),0.276,0.275,0.413,0.561,0.259,0.752,0.488,0.667,1.026,0.377,0.276,0.729,0.639,1.167,0.751,0.860,0.794,0.776,0.632,1.041,1.254,0.670,0.626,0.939,1.064,1.344,1.232,0.811,0.825,1.268
Viet Nam,0.414,0.533,0.027,0.175,0.434,0.184,0.000,0.426,1.241,0.543,0.375,0.602,0.807,0.926,0.427,0.764,0.973,0.594,0.064,0.800,1.077,0.019,0.921,0.672,0.673,1.420,1.289,1.077,1.018,1.812
Wake Island,-0.059,0.362,0.092,0.475,0.205,0.389,0.947,0.272,0.628,0.391,-0.013,0.471,0.557,0.353,0.428,0.169,0.127,-0.084,-0.244,0.299,-0.016,0.172,0.153,0.934,0.981,0.322,0.162,0.614,0.294,0.585
Wallis and Futuna Islands,0.356,0.355,0.230,0.020,0.243,0.505,0.466,0.319,0.722,0.388,0.692,0.859,1.035,0.981,0.805,0.949,0.878,1.140,0.650,0.629,1.026,0.948,0.870,0.947,0.902,0.934,1.472,1.140,1.008,1.281
Western Africa,0.851,0.599,0.225,0.703,0.343,0.803,1.049,0.813,1.209,0.570,0.733,0.807,0.958,1.003,1.091,1.312,1.057,1.071,0.796,1.186,1.566,1.067,0.733,1.085,1.070,1.092,1.516,1.349,1.138,1.309
Western Asia,0.295,0.080,-1.075,-0.112,0.466,0.308,0.668,-0.063,1.209,1.287,0.671,1.149,0.803,0.865,0.717,0.781,0.827,0.953,0.830,1.067,2.178,0.589,1.270,1.037,1.427,1.412,1.547,1.633,2.057,1.612
Western Europe,1.331,0.272,1.014,0.439,1.627,0.985,-0.249,1.157,0.947,1.296,1.595,1.022,1.496,1.547,0.922,0.911,1.522,1.575,1.202,1.257,0.082,1.839,1.163,0.758,2.208,1.929,1.570,1.701,2.331,2.170
Western Sahara,1.161,0.629,0.519,0.426,0.965,1.310,1.079,1.420,1.197,1.021,0.947,1.458,1.159,1.345,1.364,1.266,1.185,0.838,1.231,1.177,1.943,1.410,1.340,1.433,1.252,1.662,1.607,2.059,0.955,1.613
World,0.639,0.430,0.205,0.351,0.503,0.820,0.369,0.664,1.024,0.795,0.660,0.881,0.985,0.987,0.838,1.150,1.032,1.158,0.924,0.950,1.230,0.959,1.018,1.084,1.076,1.478,1.606,1.472,1.269,1.527
Yemen,0.411,0.125,0.093,-0.085,-0.160,0.115,0.625,0.434,1.533,,,,,,,,,,,,,,,,,,,,,
Yugoslav SFR,0.906,-0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,0.741,0.000,0.794,-0.005,0.350,0.679,0.813,0.528,0.962,0.287,0.039,0.451,0.796,0.928,0.365,1.143,0.591,0.858,0.553,0.617,1.458,1.050,1.051,1.134,1.068,1.772,1.276,0.667,1.193,1.414
Zimbabwe,0.550,0.086,1.161,0.383,0.017,0.827,-0.048,0.174,0.772,0.239,-0.348,0.135,0.570,0.488,-0.109,1.048,0.109,0.157,0.469,-0.046,1.011,0.510,0.613,0.391,0.367,1.258,1.165,0.225,0.547,1.230
